date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:46:35	2405/2405	---MC-	200	added ('OK')	application/json	date:Wed,%2009%20Nov%202016%2013:46:35%20GMT	https://ogpau.govspace.gov.au/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fogpau.govspace.gov.au%2Fdraft-national-action-plan%2Fdeveloping-this-plan%2F	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/wp-json/oembed/1.0/embede553.json	(from https://ogpau.govspace.gov.au/draft-national-action-plan/developing-this-plan/)
00:46:36	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Nov%202016%2013:46:35%20GMT	https://ogpau.govspace.gov.au/?p=704	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/index5d09.html	(from https://ogpau.govspace.gov.au/draft-national-action-plan/developing-this-plan/)
00:46:37	2500/2500	---MCZ	200	added ('OK')	text/xml	date:Wed,%2009%20Nov%202016%2013:46:36%20GMT	https://ogpau.govspace.gov.au/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fogpau.govspace.gov.au%2Fdraft-national-action-plan%2Fdeveloping-this-plan%2F&format=xml	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/wp-json/oembed/1.0/embedfb96	(from https://ogpau.govspace.gov.au/draft-national-action-plan/developing-this-plan/)
00:46:39	2360/2360	---MC-	200	added ('OK')	application/json	date:Wed,%2009%20Nov%202016%2013:46:38%20GMT	https://ogpau.govspace.gov.au/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fogpau.govspace.gov.au%2Fdraft-national-action-plan%2Fcommitments%2F	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/wp-json/oembed/1.0/embed425c.json	(from https://ogpau.govspace.gov.au/draft-national-action-plan/commitments/)
00:46:39	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Nov%202016%2013:46:38%20GMT	https://ogpau.govspace.gov.au/?p=706	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/indexf8ad.html	(from https://ogpau.govspace.gov.au/draft-national-action-plan/commitments/)
00:46:41	2455/2455	---MCZ	200	added ('OK')	text/xml	date:Wed,%2009%20Nov%202016%2013:46:40%20GMT	https://ogpau.govspace.gov.au/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fogpau.govspace.gov.au%2Fdraft-national-action-plan%2Fcommitments%2F&format=xml	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/wp-json/oembed/1.0/embedde52	(from https://ogpau.govspace.gov.au/draft-national-action-plan/commitments/)
00:46:42	2589/2589	---MC-	200	added ('OK')	application/json	date:Wed,%2009%20Nov%202016%2013:46:41%20GMT	https://ogpau.govspace.gov.au/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fogpau.govspace.gov.au%2Fdraft-national-action-plan%2Fcommitments%2Ftheme-1-transparency-and-accountability-in-business%2F	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/wp-json/oembed/1.0/embedaf79.json	(from https://ogpau.govspace.gov.au/draft-national-action-plan/commitments/theme-1-transparency-and-accountability-in-business/)
00:46:42	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Nov%202016%2013:46:41%20GMT	https://ogpau.govspace.gov.au/?p=710	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/index37c3.html	(from https://ogpau.govspace.gov.au/draft-national-action-plan/commitments/theme-1-transparency-and-accountability-in-business/)
00:46:44	2682/2682	---MCZ	200	added ('OK')	text/xml	date:Wed,%2009%20Nov%202016%2013:46:43%20GMT	https://ogpau.govspace.gov.au/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fogpau.govspace.gov.au%2Fdraft-national-action-plan%2Fcommitments%2Ftheme-1-transparency-and-accountability-in-business%2F&format=xml	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/wp-json/oembed/1.0/embedc24d	(from https://ogpau.govspace.gov.au/draft-national-action-plan/commitments/theme-1-transparency-and-accountability-in-business/)
00:46:45	2810/2810	---MC-	200	added ('OK')	application/json	date:Wed,%2009%20Nov%202016%2013:46:44%20GMT	https://ogpau.govspace.gov.au/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fogpau.govspace.gov.au%2Fdraft-national-action-plan%2Fcommitments%2Ftheme-1-transparency-and-accountability-in-business%2F1-1-improve-whistle-blower-protections-in-the-tax-and-corporate-sectors%2F	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/wp-json/oembed/1.0/embed3383.json	(from https://ogpau.govspace.gov.au/draft-national-action-plan/commitments/theme-1-transparency-and-accountability-in-business/1-1-improve-whistle-blower-protections-in-the-tax-and-corporate-sectors/)
00:46:46	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Nov%202016%2013:46:45%20GMT	https://ogpau.govspace.gov.au/?p=713	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/index2e8b.html	(from https://ogpau.govspace.gov.au/draft-national-action-plan/commitments/theme-1-transparency-and-accountability-in-business/1-1-improve-whistle-blower-protections-in-the-tax-and-corporate-sectors/)
00:46:47	2903/2903	---MCZ	200	added ('OK')	text/xml	date:Wed,%2009%20Nov%202016%2013:46:46%20GMT	https://ogpau.govspace.gov.au/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fogpau.govspace.gov.au%2Fdraft-national-action-plan%2Fcommitments%2Ftheme-1-transparency-and-accountability-in-business%2F1-1-improve-whistle-blower-protections-in-the-tax-and-corporate-sectors%2F&format=xml	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/wp-json/oembed/1.0/embed9a16	(from https://ogpau.govspace.gov.au/draft-national-action-plan/commitments/theme-1-transparency-and-accountability-in-business/1-1-improve-whistle-blower-protections-in-the-tax-and-corporate-sectors/)
00:46:49	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Nov%202016%2013:46:48%20GMT	https://ogpau.govspace.gov.au/?p=717	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/index6683.html	(from https://ogpau.govspace.gov.au/draft-national-action-plan/commitments/theme-1-transparency-and-accountability-in-business/1-2-beneficial-ownership/)
00:46:50	2575/2575	---MC-	200	added ('OK')	application/json	date:Wed,%2009%20Nov%202016%2013:46:50%20GMT	https://ogpau.govspace.gov.au/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fogpau.govspace.gov.au%2Fdraft-national-action-plan%2Fcommitments%2Ftheme-1-transparency-and-accountability-in-business%2F1-2-beneficial-ownership%2F	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/wp-json/oembed/1.0/embed996e.json	(from https://ogpau.govspace.gov.au/draft-national-action-plan/commitments/theme-1-transparency-and-accountability-in-business/1-2-beneficial-ownership/)
